#Musica 'bang_bang new.mp3' salva no diretorio 'bang_bang new'

-0.13, -0.04; 4.3683; C
-0.00, -0.12; 0.5341; A
-0.00, -0.12; 0.4412; A
-0.02, 0.02; 0.6269; D
-0.02, 0.02; 0.4644; D
0.00, -0.09; 0.5108; A
0.00, -0.09; 0.4180; A
-0.01, 0.03; 0.5921; D
-0.01, 0.03; 0.3947; D
-0.11, -0.02; 0.5689; C
-0.11, -0.02; 0.4296; C
0.11, -0.04; 0.6966; B
0.11, -0.04; 0.4063; B
-0.08, -0.02; 0.5457; C
-0.08, -0.02; 0.4528; C
0.09, -0.03; 0.5341; B
0.01, 0.06; 0.6966; D
-0.14, -0.03; 0.7430; C
0.01, -0.13; 0.5457; A
0.02, 0.01; 1.1378; B
-0.10, 0.01; 0.9288; C
0.14, -0.02; 0.8011; B
-0.10, -0.02; 1.2423; C
0.13, -0.01; 0.7430; B
0.00, -0.09; 1.2655; A
0.00, 0.03; 0.7663; D
0.01, -0.09; 1.3003; A
-0.01, 0.07; 0.7663; D
0.01, -0.09; 1.1842; A
-0.00, 0.06; 0.8127; D
0.01, -0.10; 1.3119; A
-0.00, 0.06; 0.6734; D
0.01, -0.10; 1.2771; A
-0.00, 0.06; 0.7895; D
0.01, -0.09; 1.2423; A
-0.01, 0.06; 0.7430; D
-0.01, -0.12; 1.3584; A
-0.01, 0.05; 0.7663; D
-0.00, -0.14; 1.1842; A
-0.01, 0.06; 0.9404; D
-0.13, -0.03; 1.1726; C
-0.10, -0.03; 0.8359; C
0.15, -0.02; 1.0797; B
0.14, -0.02; 0.7779; B
-0.14, -0.03; 1.3468; C
-0.14, -0.03; 0.7779; C
0.12, -0.02; 1.2887; B
0.12, -0.02; 0.7546; B
-0.14, -0.03; 1.2887; C
-0.12, -0.01; 0.7082; C
0.13, -0.02; 1.3003; B
0.13, -0.02; 0.7663; B
-0.01, 0.06; 1.2423; D
-0.00, -0.10; 0.7779; A
-0.01, 0.04; 1.3003; D
0.00, -0.11; 0.8708; A
-0.11, -0.03; 1.1030; C
-0.11, -0.03; 1.0101; C
-0.06, -0.03; 1.1378; C
0.03, -0.03; 0.6850; B
0.07, -0.03; 1.2307; B
0.12, -0.03; 0.8127; B
0.07, 0.04; 1.2423; B
0.01, 0.07; 0.7663; D
-0.01, 0.06; 1.1610; D
-0.00, 0.02; 0.7663; D
-0.00, -0.04; 1.2191; A
-0.00, -0.09; 0.7779; A
0.02, -0.14; 1.3119; A
0.11, -0.02; 0.7779; B
-0.04, 0.06; 0.7546; D
-0.14, -0.04; 0.6385; C
-0.02, -0.10; 1.1146; A
0.14, -0.06; 0.9404; B
0.01, 0.08; 0.7779; D
-0.14, 0.01; 1.1494; C
0.10, -0.03; 0.9520; B
0.10, -0.03; 0.1741; B
0.10, -0.03; 0.1393; B
0.10, -0.03; 0.8824; B
-0.13, -0.02; 0.7198; C
0.11, -0.03; 1.2423; B
-0.13, -0.02; 0.8127; C
0.01, 0.06; 1.2190; D
-0.00, -0.14; 0.7547; A
-0.01, 0.06; 1.2191; D
0.01, -0.14; 0.8243; A
0.12, -0.03; 1.2191; B
-0.14, 0.01; 0.7779; C
0.11, -0.02; 1.3003; B
-0.13, -0.01; 0.7082; C
0.01, -0.13; 1.3584; A
-0.00, 0.04; 0.7779; D
-0.01, -0.14; 1.2423; A
-0.00, 0.07; 0.9288; D
-0.13, -0.02; 1.1842; C
-0.13, -0.02; 0.7547; C
0.15, -0.02; 1.2074; B
0.15, -0.02; 0.7082; B
-0.15, -0.02; 1.3351; C
-0.15, -0.02; 0.7895; C
0.13, -0.01; 1.1842; B
0.13, -0.01; 0.7430; B
-0.00, -0.12; 1.3351; A
-0.00, -0.12; 0.6734; A
-0.01, 0.06; 1.3700; D
-0.01, 0.06; 0.6966; D
-0.14, -0.03; 1.3700; C
-0.14, -0.03; 0.6966; C
0.13, -0.02; 1.3351; B
0.13, -0.02; 0.6734; B
